pair,signal,conf,entry,sl,tp,outcome,pnl_r
BTCUSDT,LONG,100,54266.56,53905.2874,55350.3777,WIN,3.0
BTCUSDT,LONG,70,57088.49,56438.9234,59037.1897,LOSS,-1.0
BTCUSDT,LONG,70,57129.5,56423.7946,59246.6163,WIN,3.0
BTCUSDT,LONG,70,58157.87,57192.5751,61053.7546,LOSS,-1.0
BTCUSDT,SHORT,70,57654.57,58301.4751,55713.8546,LOSS,-1.0
BTCUSDT,SHORT,70,55999.69,56313.092,55059.484,LOSS,-1.0
BTCUSDT,LONG,70,56912.77,56035.096,59545.792,LOSS,-1.0
BTCUSDT,SHORT,70,49389.58,50565.5254,45861.7437,WIN,3.0
BTCUSDT,LONG,70,38831.98,37648.9309,42381.1274,LOSS,-1.0
BTCUSDT,SHORT,70,35971.67,36841.0137,33363.6389,LOSS,-1.0
BTCUSDT,SHORT,70,33502.57,34213.2783,31370.4451,LOSS,-1.0
BTCUSDT,LONG,70,37008.46,36046.338,39894.826,LOSS,-1.0
BTCUSDT,LONG,70,36818.41,36109.0397,38946.5209,LOSS,-1.0
BTCUSDT,SHORT,70,35629.65,36062.3303,34331.6091,LOSS,-1.0
BTCUSDT,LONG,70,40001.88,39143.1123,42578.1831,LOSS,-1.0
BTCUSDT,SHORT,70,38899.98,39645.5174,36663.3677,WIN,3.0
BTCUSDT,SHORT,70,37836.94,38440.8457,36025.2229,WIN,3.0
BTCUSDT,SHORT,70,35743.01,36496.4366,33482.7303,WIN,3.0
BTCUSDT,SHORT,70,35502.82,35881.3854,34367.1237,LOSS,-1.0
BTCUSDT,SHORT,70,31708.08,32601.0971,29029.0286,LOSS,-1.0
BTCUSDT,SHORT,70,31777.73,32717.726,28957.742,LOSS,-1.0
BTCUSDT,SHORT,70,34580.4,35348.5326,32276.0023,LOSS,-1.0
BTCUSDT,SHORT,70,33667.44,34151.3606,32215.6783,LOSS,-1.0
BTCUSDT,LONG,70,34387.55,33873.5611,35929.5166,LOSS,-1.0
BTCUSDT,LONG,70,33793.94,33349.1431,35128.3306,LOSS,-1.0
BTCUSDT,LONG,70,33693.43,33358.998,34696.726,LOSS,-1.0
