pair,signal,conf,entry,sl,tp,outcome,pnl_r
BTCUSDT,SHORT,70,32327.7,32715.9629,31162.9114,LOSS,-1.0
BTCUSDT,SHORT,70,32505.0,32992.242,31043.274,WIN,3.0
BTCUSDT,SHORT,70,31391.33,32070.912,29352.584,LOSS,-1.0
BTCUSDT,SHORT,70,31557.91,32056.7366,30061.4303,WIN,3.0
BTCUSDT,LONG,70,32176.84,31950.508,32855.836,WIN,3.0
BTCUSDT,LONG,70,34695.51,34085.7117,36524.9049,LOSS,-1.0
BTCUSDT,LONG,70,41511.12,41190.574,42472.758,LOSS,-1.0
BTCUSDT,SHORT,70,38194.23,38819.3649,36318.8254,LOSS,-1.0
BTCUSDT,LONG,70,45529.57,45143.2823,46688.4331,LOSS,-1.0
BTCUSDT,LONG,70,46569.99,46094.2323,47997.2631,LOSS,-1.0
BTCUSDT,SHORT,70,45948.44,46522.9946,44224.7763,WIN,3.0
BTCUSDT,SHORT,70,44901.12,45630.1229,42714.1114,LOSS,-1.0
BTCUSDT,SHORT,70,44982.88,45622.086,43065.262,LOSS,-1.0
BTCUSDT,LONG,70,49115.05,48797.4911,50067.7266,LOSS,-1.0
BTCUSDT,LONG,70,49537.97,49009.2623,51124.0931,LOSS,-1.0
BTCUSDT,SHORT,70,49333.33,49810.1911,47902.7466,WIN,3.0
BTCUSDT,SHORT,70,47884.08,48479.7234,46097.1497,LOSS,-1.0
BTCUSDT,SHORT,70,47249.2,47465.5914,46600.0257,LOSS,-1.0
BTCUSDT,LONG,70,48674.72,48165.8831,50201.2306,LOSS,-1.0
BTCUSDT,SHORT,70,48167.47,48717.1734,46518.3597,LOSS,-1.0
BTCUSDT,LONG,100,47644.29,47192.4126,48999.9223,WIN,3.0
BTCUSDT,LONG,70,50198.78,49706.3214,51676.1557,WIN,3.0
BTCUSDT,SHORT,70,46670.7,47394.5386,44499.1843,LOSS,-1.0
BTCUSDT,SHORT,70,45287.41,45819.59,43690.87,LOSS,-1.0
BTCUSDT,LONG,70,48286.99,47738.1834,49933.4097,LOSS,-1.0
BTCUSDT,SHORT,70,47454.4,48380.8634,44675.0097,LOSS,-1.0
BTCUSDT,SHORT,70,47580.0,47856.368,46750.896,WIN,3.0
BTCUSDT,LONG,70,44022.7,43475.9954,45662.8137,LOSS,-1.0
BTCUSDT,LONG,70,44517.29,43927.586,46286.402,LOSS,-1.0
BTCUSDT,SHORT,70,42642.91,43302.1097,40665.3109,LOSS,-1.0
BTCUSDT,SHORT,70,41596.2,42199.4174,39786.5477,LOSS,-1.0
BTCUSDT,LONG,70,51160.35,50719.078,52484.166,WIN,3.0
BTCUSDT,LONG,70,54907.45,54198.5846,57034.0463,LOSS,-1.0
BTCUSDT,LONG,70,54972.3,54175.1491,57363.7526,WIN,3.0
BTCUSDT,LONG,70,56941.61,56182.6323,59218.5431,LOSS,-1.0
BTCUSDT,SHORT,70,55358.28,56334.9791,52428.1826,LOSS,-1.0
BTCUSDT,LONG,70,57622.42,56976.5469,59560.0394,LOSS,-1.0
BTCUSDT,LONG,70,61017.04,60109.2226,63740.4923,LOSS,-1.0
BTCUSDT,SHORT,70,60617.01,61418.8986,58211.3443,LOSS,-1.0
BTCUSDT,LONG,70,62223.65,61782.4906,63547.1283,LOSS,-1.0
BTCUSDT,LONG,70,64827.9,63810.5349,67879.9954,LOSS,-1.0
BTCUSDT,SHORT,70,60799.7,61421.3234,58934.8297,LOSS,-1.0
BTCUSDT,LONG,70,62820.3,62499.6134,63782.3597,LOSS,-1.0
BTCUSDT,LONG,70,61859.19,60862.6846,64848.7063,LOSS,-1.0
BTCUSDT,SHORT,70,60501.62,61335.4606,58000.0983,LOSS,-1.0
BTCUSDT,SHORT,70,61259.63,61503.4626,60528.1323,LOSS,-1.0
BTCUSDT,SHORT,70,60790.88,61460.3503,58782.4691,LOSS,-1.0
BTCUSDT,LONG,70,62042.04,61481.818,63722.706,WIN,3.0
BTCUSDT,LONG,70,67333.53,67085.1429,68078.6914,LOSS,-1.0
BTCUSDT,LONG,70,65489.09,65314.6446,66012.4263,LOSS,-1.0
BTCUSDT,SHORT,70,60508.03,61432.6849,57734.0654,WIN,3.0
BTCUSDT,SHORT,70,59676.05,60390.8737,57531.5789,WIN,3.0
BTCUSDT,LONG,70,58692.91,58382.6623,59623.6531,WIN,3.0
BTCUSDT,SHORT,70,56883.07,57567.2994,54830.3817,LOSS,-1.0
BTCUSDT,SHORT,70,56727.53,57490.8386,54437.6043,LOSS,-1.0
BTCUSDT,SHORT,70,54571.62,55085.7046,53029.3663,LOSS,-1.0
BTCUSDT,SHORT,70,54617.85,55239.6729,52752.3814,LOSS,-1.0
BTCUSDT,LONG,70,57260.06,56710.0214,58910.1757,LOSS,-1.0
BTCUSDT,LONG,70,57461.32,56262.0686,61059.0743,LOSS,-1.0
BTCUSDT,SHORT,70,56520.81,57423.7306,53812.0483,LOSS,-1.0
BTCUSDT,SHORT,70,48926.21,49898.2269,46010.1594,LOSS,-1.0
BTCUSDT,SHORT,70,48942.68,50006.1523,45752.2631,LOSS,-1.0
BTCUSDT,SHORT,70,47533.58,48411.5877,44899.5569,LOSS,-1.0
BTCUSDT,LONG,70,49630.66,49380.7154,50380.4937,LOSS,-1.0
BTCUSDT,SHORT,70,46853.86,47396.4271,45226.1586,LOSS,-1.0
BTCUSDT,LONG,70,48506.58,47827.2077,50544.6969,LOSS,-1.0
BTCUSDT,SHORT,70,46555.42,47345.6109,44184.8474,LOSS,-1.0
BTCUSDT,LONG,70,47150.01,45598.9537,51803.1789,LOSS,-1.0
BTCUSDT,LONG,70,46961.23,46135.1306,49439.5283,WIN,3.0
BTCUSDT,LONG,70,48941.35,48298.5866,50869.6403,LOSS,-1.0
BTCUSDT,LONG,70,50755.87,50297.5126,52130.9423,LOSS,-1.0
BTCUSDT,SHORT,70,47826.0,48093.7994,47022.6017,WIN,3.0
BTCUSDT,SHORT,100,46686.41,47301.7343,44840.4371,LOSS,-1.0
BTCUSDT,LONG,70,47268.62,46672.102,49058.174,LOSS,-1.0
BTCUSDT,LONG,70,47292.95,47141.1951,47748.2146,LOSS,-1.0
BTCUSDT,SHORT,70,47078.64,47364.4051,46221.3446,LOSS,-1.0
BTCUSDT,LONG,70,46689.52,46157.6826,48285.0323,LOSS,-1.0
BTCUSDT,SHORT,70,42135.26,42819.906,40081.322,LOSS,-1.0
BTCUSDT,SHORT,70,41905.0,42171.7917,41104.6249,WIN,3.0
BTCUSDT,SHORT,70,41621.11,42183.258,39934.666,LOSS,-1.0
BTCUSDT,SHORT,70,41642.0,42108.058,40243.826,LOSS,-1.0
BTCUSDT,LONG,70,43602.31,43326.6091,44429.4126,WIN,3.0
BTCUSDT,SHORT,70,42519.99,43003.7414,41068.7357,LOSS,-1.0
BTCUSDT,SHORT,70,42838.94,43351.1914,41302.1857,WIN,3.0
BTCUSDT,SHORT,70,41505.53,41952.4331,40164.8206,LOSS,-1.0
BTCUSDT,LONG,70,42033.76,41460.5783,43753.3051,LOSS,-1.0
BTCUSDT,SHORT,70,35846.77,36113.1157,35047.7329,LOSS,-1.0
BTCUSDT,SHORT,70,34959.79,35684.4697,32785.7509,LOSS,-1.0
BTCUSDT,LONG,70,37620.04,37334.5377,38476.5469,LOSS,-1.0
BTCUSDT,LONG,70,37889.48,37485.366,39101.822,LOSS,-1.0
BTCUSDT,LONG,70,38256.12,38059.6389,38845.5634,LOSS,-1.0
BTCUSDT,SHORT,70,36785.0,37222.7109,35471.8674,LOSS,-1.0
BTCUSDT,LONG,70,41519.49,41267.8234,42274.4897,WIN,3.0
BTCUSDT,LONG,70,43938.87,43693.1711,44675.9666,LOSS,-1.0
BTCUSDT,LONG,70,44356.08,43779.0023,46087.3131,LOSS,-1.0
BTCUSDT,SHORT,70,42441.44,42604.7954,41951.3737,WIN,3.0
BTCUSDT,LONG,100,42535.39,42130.156,43751.092,LOSS,-1.0
BTCUSDT,SHORT,70,40017.88,40439.5906,38752.7483,WIN,3.0
BTCUSDT,SHORT,70,38680.0,39092.8649,37441.4054,LOSS,-1.0
BTCUSDT,LONG,70,39369.82,38781.2314,41135.5857,LOSS,-1.0
BTCUSDT,LONG,70,44280.0,43471.1474,46706.5577,LOSS,-1.0
BTCUSDT,SHORT,70,43305.77,43792.3974,41845.8877,LOSS,-1.0
BTCUSDT,SHORT,70,38596.21,39449.932,36035.044,LOSS,-1.0
BTCUSDT,LONG,70,38682.81,38292.7591,39852.9626,WIN,3.0
BTCUSDT,SHORT,70,39042.04,39692.5303,37090.5691,LOSS,-1.0
BTCUSDT,SHORT,70,38970.67,39297.2609,37990.8974,WIN,3.0
BTCUSDT,SHORT,70,38519.86,38974.6971,37155.3486,LOSS,-1.0
BTCUSDT,LONG,70,39017.11,38542.6406,40440.5183,WIN,3.0
BTCUSDT,SHORT,70,40335.84,41312.8749,37404.7354,LOSS,-1.0
BTCUSDT,LONG,70,41765.22,41524.8883,42486.2151,LOSS,-1.0
BTCUSDT,SHORT,70,41104.03,41551.2946,39762.2363,LOSS,-1.0
BTCUSDT,LONG,70,42322.66,42050.3974,43139.4477,LOSS,-1.0
BTCUSDT,LONG,70,42160.33,41604.5949,43827.5354,WIN,3.0
BTCUSDT,LONG,70,42810.84,42126.5446,44863.7263,WIN,3.0
BTCUSDT,LONG,70,44000.67,43724.0974,44830.3877,WIN,3.0
BTCUSDT,LONG,70,44350.01,44095.2283,45114.3551,LOSS,-1.0
BTCUSDT,LONG,70,44436.1,44096.9343,45453.5971,WIN,3.0
BTCUSDT,LONG,70,47440.0,47011.4323,48725.7031,LOSS,-1.0
BTCUSDT,SHORT,70,45245.66,45802.5794,43574.9017,LOSS,-1.0
BTCUSDT,LONG,70,46717.49,46348.7951,47823.5746,LOSS,-1.0
BTCUSDT,LONG,70,46586.31,46381.3154,47201.2937,LOSS,-1.0
BTCUSDT,SHORT,70,45996.0,46465.1594,44588.5217,LOSS,-1.0
BTCUSDT,LONG,70,46767.99,46464.8677,47677.3569,LOSS,-1.0
BTCUSDT,SHORT,70,43766.74,44177.6323,42534.0631,LOSS,-1.0
BTCUSDT,SHORT,70,43648.01,43817.594,43139.258,WIN,3.0
BTCUSDT,SHORT,70,42445.64,42944.9131,40947.8206,LOSS,-1.0
BTCUSDT,SHORT,70,40039.87,40156.2863,39690.6211,LOSS,-1.0
BTCUSDT,LONG,70,40416.95,40222.9583,40998.9251,LOSS,-1.0
BTCUSDT,LONG,70,40445.3,40211.0209,41148.1374,LOSS,-1.0
BTCUSDT,LONG,70,41340.05,41192.8694,41781.5917,WIN,3.0
BTCUSDT,LONG,70,42135.33,41608.8057,43714.9029,LOSS,-1.0
BTCUSDT,SHORT,100,39441.6,39769.5914,38457.6257,LOSS,-1.0
BTCUSDT,SHORT,70,39656.49,39776.3869,39296.7994,LOSS,-1.0
BTCUSDT,SHORT,70,39060.88,39452.436,37886.212,LOSS,-1.0
BTCUSDT,SHORT,70,38313.23,38606.1546,37434.4563,LOSS,-1.0
BTCUSDT,LONG,70,38840.0,38295.1677,40474.4969,LOSS,-1.0
BTCUSDT,SHORT,70,38364.82,38749.5377,37210.6669,LOSS,-1.0
BTCUSDT,SHORT,70,36218.01,36599.1831,35074.4906,WIN,3.0
BTCUSDT,SHORT,70,35900.74,36104.004,35290.948,WIN,3.0
BTCUSDT,SHORT,70,31438.77,32252.0757,28998.8529,WIN,3.0
BTCUSDT,SHORT,70,29526.58,29838.8714,28589.7057,LOSS,-1.0
BTCUSDT,LONG,70,29974.67,29413.3049,31658.7654,LOSS,-1.0
BTCUSDT,LONG,70,30153.74,29660.848,31632.416,LOSS,-1.0
BTCUSDT,LONG,70,30323.07,30009.5374,31263.6677,LOSS,-1.0
BTCUSDT,SHORT,70,29382.31,29593.624,28748.368,LOSS,-1.0
BTCUSDT,SHORT,70,28615.82,29111.3026,27129.3723,LOSS,-1.0
BTCUSDT,LONG,70,29063.3,28874.88,29628.56,WIN,3.0
BTCUSDT,SHORT,70,29895.28,30298.5723,28685.4031,LOSS,-1.0
BTCUSDT,SHORT,70,29639.46,29837.7054,29044.7237,LOSS,-1.0
BTCUSDT,SHORT,70,30302.24,30539.4349,29590.6554,WIN,3.0
BTCUSDT,SHORT,70,21273.85,21578.9417,20358.5749,WIN,3.0
BTCUSDT,SHORT,70,20475.28,20816.164,19452.628,WIN,3.0
BTCUSDT,SHORT,70,20322.73,20609.9434,19461.0897,LOSS,-1.0
BTCUSDT,LONG,70,20884.17,20563.4214,21846.4157,LOSS,-1.0
BTCUSDT,LONG,70,21147.94,20671.1206,22578.3983,LOSS,-1.0
BTCUSDT,LONG,70,21456.36,21212.1757,22188.9129,LOSS,-1.0
BTCUSDT,SHORT,70,19450.24,19624.1477,18928.5169,LOSS,-1.0
BTCUSDT,SHORT,70,19344.57,19754.0549,18116.1154,LOSS,-1.0
BTCUSDT,SHORT,70,19263.59,19352.7771,18996.0286,LOSS,-1.0
BTCUSDT,LONG,70,19367.05,19118.9029,20111.4914,WIN,3.0
BTCUSDT,LONG,70,19877.48,19554.4966,20846.4303,LOSS,-1.0
BTCUSDT,LONG,70,21769.09,21430.9231,22783.5906,LOSS,-1.0
BTCUSDT,SHORT,70,19784.54,19888.362,19473.074,LOSS,-1.0
BTCUSDT,SHORT,70,19705.25,19895.9017,19133.2949,LOSS,-1.0
BTCUSDT,SHORT,70,19783.6,19977.6417,19201.4749,LOSS,-1.0
BTCUSDT,LONG,70,21760.43,21267.1666,23240.2203,WIN,3.0
BTCUSDT,SHORT,70,22852.28,23141.936,21983.312,LOSS,-1.0
BTCUSDT,SHORT,70,22320.27,22484.5971,21827.2886,WIN,3.0
BTCUSDT,SHORT,70,21890.17,22057.7083,21387.5551,LOSS,-1.0
BTCUSDT,LONG,70,22852.26,22460.2794,24028.2017,WIN,3.0
BTCUSDT,LONG,70,23720.56,23577.61,24149.41,LOSS,-1.0
BTCUSDT,LONG,70,23809.94,23599.3774,24441.6277,WIN,3.0
BTCUSDT,SHORT,70,23720.86,24138.1514,22468.9857,LOSS,-1.0
BTCUSDT,SHORT,70,23268.01,23518.416,22516.792,LOSS,-1.0
BTCUSDT,SHORT,70,22895.8,23099.8757,22283.5729,LOSS,-1.0
BTCUSDT,LONG,70,23128.83,23059.0311,23338.2266,LOSS,-1.0
BTCUSDT,LONG,70,23302.44,23088.6957,23943.6729,WIN,3.0
BTCUSDT,SHORT,70,23829.49,24213.7597,22676.6809,LOSS,-1.0
BTCUSDT,LONG,70,24657.09,24433.4397,25328.0409,LOSS,-1.0
BTCUSDT,SHORT,70,24155.97,24420.5811,23362.1366,LOSS,-1.0
BTCUSDT,SHORT,70,23450.25,23530.038,23210.886,WIN,3.0
BTCUSDT,SHORT,70,21305.34,21391.238,21047.646,LOSS,-1.0
BTCUSDT,LONG,70,21486.75,21326.5194,21967.4417,LOSS,-1.0
BTCUSDT,LONG,70,21565.12,21340.5474,22238.8377,LOSS,-1.0
BTCUSDT,SHORT,70,19868.14,20111.9997,19136.5609,LOSS,-1.0
BTCUSDT,LONG,70,20271.25,20023.5769,21014.2694,LOSS,-1.0
BTCUSDT,SHORT,70,19972.45,20246.2437,19151.0689,LOSS,-1.0
BTCUSDT,LONG,70,20129.78,19895.0411,20833.9966,LOSS,-1.0
BTCUSDT,SHORT,70,19736.2,19863.0543,19355.6371,LOSS,-1.0
BTCUSDT,LONG,70,19914.13,19761.7797,20371.1809,LOSS,-1.0
BTCUSDT,LONG,70,19854.93,19677.3974,20387.5277,LOSS,-1.0
BTCUSDT,LONG,70,19227.67,18927.5431,20128.0506,WIN,3.0
BTCUSDT,LONG,70,21407.08,21120.254,22267.558,LOSS,-1.0
BTCUSDT,SHORT,70,20309.11,20473.1206,19817.0783,WIN,3.0
BTCUSDT,SHORT,70,19689.85,19903.188,19049.836,LOSS,-1.0
BTCUSDT,LONG,70,19982.96,19892.1334,20255.4397,LOSS,-1.0
BTCUSDT,SHORT,70,19103.65,19383.0837,18265.3489,LOSS,-1.0
BTCUSDT,SHORT,70,19004.01,19196.6617,18426.0549,LOSS,-1.0
BTCUSDT,LONG,70,19082.72,18865.2491,19735.1326,LOSS,-1.0
BTCUSDT,SHORT,70,19004.44,19325.3377,18041.7469,LOSS,-1.0
BTCUSDT,SHORT,70,19197.36,19323.4677,18819.0369,LOSS,-1.0
BTCUSDT,SHORT,70,19330.58,19469.1589,18914.8434,LOSS,-1.0
BTCUSDT,LONG,70,20133.98,19889.406,20867.702,LOSS,-1.0
BTCUSDT,LONG,70,20193.31,19921.0109,21010.2074,LOSS,-1.0
BTCUSDT,SHORT,70,19499.41,19731.6074,18802.8177,LOSS,-1.0
BTCUSDT,SHORT,70,19489.95,19737.7986,18746.4043,LOSS,-1.0
BTCUSDT,SHORT,70,19412.25,19580.0234,18908.9297,LOSS,-1.0
BTCUSDT,SHORT,70,19144.92,19236.6406,18869.7583,WIN,3.0
BTCUSDT,SHORT,70,18958.59,19123.5449,18463.7254,LOSS,-1.0
BTCUSDT,LONG,70,19463.15,19279.8606,20013.0183,LOSS,-1.0
BTCUSDT,LONG,70,19230.44,19074.9006,19697.0583,WIN,3.0
BTCUSDT,SHORT,70,19183.68,19252.5029,18977.2114,LOSS,-1.0
BTCUSDT,SHORT,70,19011.0,19164.7751,18549.6746,LOSS,-1.0
BTCUSDT,LONG,70,20549.58,20403.0857,20989.0629,LOSS,-1.0
BTCUSDT,SHORT,70,20209.78,20343.3229,19809.1514,LOSS,-1.0
BTCUSDT,LONG,70,20698.89,20568.06,21091.38,LOSS,-1.0
BTCUSDT,LONG,70,20784.05,20584.3014,21383.2957,LOSS,-1.0
BTCUSDT,SHORT,70,20542.43,20785.9509,19811.8674,LOSS,-1.0
BTCUSDT,SHORT,70,20406.45,20614.4809,19782.3574,LOSS,-1.0
BTCUSDT,SHORT,70,20421.64,20597.7074,19893.4377,LOSS,-1.0
BTCUSDT,SHORT,70,20248.62,20378.0766,19860.2503,LOSS,-1.0
BTCUSDT,LONG,70,21299.22,21200.204,21596.268,LOSS,-1.0
BTCUSDT,LONG,70,16858.77,16556.4077,17765.8569,LOSS,-1.0
BTCUSDT,SHORT,70,16522.75,16667.5331,16088.4006,LOSS,-1.0
BTCUSDT,LONG,70,16767.85,16608.5951,17245.6146,LOSS,-1.0
BTCUSDT,SHORT,70,16614.65,16665.7477,16461.3569,LOSS,-1.0
BTCUSDT,SHORT,70,16626.44,16675.68,16478.72,WIN,3.0
BTCUSDT,SHORT,70,16175.95,16299.9986,15803.8043,WIN,3.0
BTCUSDT,LONG,70,16473.32,16387.3223,16731.3131,WIN,3.0
BTCUSDT,LONG,70,16528.79,16287.0626,17253.9723,LOSS,-1.0
BTCUSDT,SHORT,70,16146.26,16263.6977,15793.9469,LOSS,-1.0
BTCUSDT,LONG,70,17088.86,17053.73,17194.25,LOSS,-1.0
BTCUSDT,LONG,70,17031.5,16930.282,17335.154,LOSS,-1.0
BTCUSDT,SHORT,70,16947.76,17065.0849,16595.7854,LOSS,-1.0
BTCUSDT,LONG,70,17016.6,16972.0231,17150.3306,WIN,3.0
BTCUSDT,SHORT,70,17034.17,17115.7823,16789.3331,LOSS,-1.0
BTCUSDT,SHORT,70,16956.03,17108.0686,16499.9143,LOSS,-1.0
BTCUSDT,LONG,70,17181.5,17141.5749,17301.2754,LOSS,-1.0
BTCUSDT,LONG,70,17792.9,17700.9066,18068.8803,LOSS,-1.0
BTCUSDT,SHORT,70,16764.79,16816.036,16611.052,LOSS,-1.0
BTCUSDT,SHORT,70,16739.36,16824.0271,16485.3586,WIN,3.0
BTCUSDT,LONG,70,16861.13,16755.9834,17176.5697,LOSS,-1.0
BTCUSDT,SHORT,70,16780.04,16836.7837,16609.8089,WIN,3.0
BTCUSDT,LONG,70,16841.76,16734.1251,17164.6646,LOSS,-1.0
BTCUSDT,LONG,70,16823.97,16763.9774,17003.9477,LOSS,-1.0
BTCUSDT,LONG,70,16877.15,16788.9389,17141.7834,LOSS,-1.0
BTCUSDT,LONG,70,16870.39,16803.494,17071.078,LOSS,-1.0
BTCUSDT,SHORT,70,16608.23,16706.1954,16314.3337,LOSS,-1.0
BTCUSDT,SHORT,70,16591.59,16700.5774,16264.6277,LOSS,-1.0
BTCUSDT,SHORT,70,16555.26,16610.0311,16390.9466,LOSS,-1.0
BTCUSDT,LONG,70,16575.44,16512.6451,16763.8246,LOSS,-1.0
BTCUSDT,LONG,70,16565.14,16529.6766,16671.5303,WIN,3.0
BTCUSDT,LONG,70,16698.4,16619.6146,16934.7563,LOSS,-1.0
BTCUSDT,SHORT,70,16622.58,16643.8726,16558.7023,LOSS,-1.0
BTCUSDT,LONG,70,16893.24,16820.0334,17112.8597,LOSS,-1.0
BTCUSDT,LONG,70,16838.28,16804.3494,16940.0717,LOSS,-1.0
BTCUSDT,LONG,70,16850.45,16760.0406,17121.6783,LOSS,-1.0
BTCUSDT,LONG,70,16926.66,16900.2746,17005.8163,WIN,3.0
BTCUSDT,LONG,70,16936.87,16896.4111,17058.2466,WIN,3.0
BTCUSDT,LONG,70,17418.56,17379.5786,17535.5043,LOSS,-1.0
BTCUSDT,LONG,70,21252.23,21028.494,21923.438,LOSS,-1.0
BTCUSDT,SHORT,70,20776.95,21099.3449,19809.7654,LOSS,-1.0
BTCUSDT,LONG,70,22794.51,22544.2211,23545.3766,LOSS,-1.0
BTCUSDT,LONG,70,22798.41,22549.4294,23545.3517,LOSS,-1.0
BTCUSDT,LONG,70,22852.79,22670.9569,23398.2894,LOSS,-1.0
BTCUSDT,LONG,70,22932.2,22759.6171,23449.9486,LOSS,-1.0
BTCUSDT,LONG,70,23039.35,22777.8357,23823.8929,LOSS,-1.0
BTCUSDT,LONG,70,23101.0,22775.5323,24077.4031,LOSS,-1.0
BTCUSDT,LONG,70,23802.57,23695.3789,24124.1434,LOSS,-1.0
BTCUSDT,SHORT,70,23518.32,23600.2909,23272.4074,LOSS,-1.0
BTCUSDT,SHORT,70,23326.84,23574.3409,22584.3374,LOSS,-1.0
BTCUSDT,SHORT,70,22878.23,23143.5626,22082.2323,LOSS,-1.0
BTCUSDT,LONG,70,23011.79,22814.1029,23604.8514,LOSS,-1.0
BTCUSDT,SHORT,70,21713.77,21879.962,21215.194,LOSS,-1.0
BTCUSDT,SHORT,70,21811.28,21956.6557,21375.1529,WIN,3.0
BTCUSDT,LONG,70,24445.81,24038.4097,25668.0109,LOSS,-1.0
BTCUSDT,LONG,70,24628.59,24408.378,25289.226,LOSS,-1.0
BTCUSDT,LONG,70,24799.99,24648.8426,25253.4323,LOSS,-1.0
BTCUSDT,SHORT,70,23886.7,24210.6603,22914.8191,WIN,3.0
BTCUSDT,SHORT,70,23018.34,23166.5929,22573.5814,LOSS,-1.0
BTCUSDT,SHORT,70,23321.37,23534.4023,22682.2731,LOSS,-1.0
BTCUSDT,LONG,70,23518.3,23332.5506,24075.5483,LOSS,-1.0
BTCUSDT,SHORT,70,23441.14,23606.4869,22945.0994,WIN,3.0
BTCUSDT,SHORT,70,22381.17,22475.0249,22099.6054,LOSS,-1.0
BTCUSDT,SHORT,70,20071.82,20406.2991,19068.3826,LOSS,-1.0
BTCUSDT,LONG,70,20381.25,20258.0943,20750.7171,WIN,3.0
BTCUSDT,LONG,70,27434.91,26901.462,29035.254,LOSS,-1.0
BTCUSDT,LONG,70,28037.9,27611.0134,29318.5597,LOSS,-1.0
BTCUSDT,SHORT,70,27647.43,27945.3554,26753.6537,LOSS,-1.0
BTCUSDT,LONG,70,27803.89,27569.7751,28506.2346,LOSS,-1.0
BTCUSDT,LONG,70,27892.69,27612.4423,28733.4331,LOSS,-1.0
BTCUSDT,SHORT,70,26983.02,27118.2589,26577.3034,LOSS,-1.0
BTCUSDT,LONG,70,28428.47,28165.6349,29216.9754,LOSS,-1.0
BTCUSDT,LONG,70,28476.59,28294.7186,29022.2043,LOSS,-1.0
BTCUSDT,SHORT,70,27958.74,28282.8289,26986.4734,LOSS,-1.0
BTCUSDT,SHORT,70,27952.78,28131.1391,27417.7026,LOSS,-1.0
BTCUSDT,SHORT,70,27904.38,28085.662,27360.534,LOSS,-1.0
BTCUSDT,LONG,70,28217.46,28057.5463,28697.2011,WIN,3.0
BTCUSDT,SHORT,70,30319.98,30569.0594,29572.7417,LOSS,-1.0
BTCUSDT,SHORT,70,30279.34,30511.2223,29583.6931,LOSS,-1.0
BTCUSDT,SHORT,70,29720.98,29937.104,29072.608,LOSS,-1.0
BTCUSDT,SHORT,70,28893.0,29188.3123,28007.0631,WIN,3.0
BTCUSDT,SHORT,100,27474.47,27717.1337,26746.4789,LOSS,-1.0
BTCUSDT,SHORT,70,27430.87,27775.8337,26395.9789,LOSS,-1.0
BTCUSDT,LONG,70,28413.39,28112.7223,29315.3931,LOSS,-1.0
BTCUSDT,LONG,70,29251.98,28773.9606,30686.0383,LOSS,-1.0
BTCUSDT,LONG,70,29336.06,29110.598,30012.446,LOSS,-1.0
BTCUSDT,SHORT,70,29221.93,29459.7597,28508.4409,LOSS,-1.0
BTCUSDT,SHORT,70,28009.07,28199.9397,27436.4609,LOSS,-1.0
BTCUSDT,SHORT,70,28476.96,28838.668,27391.836,LOSS,-1.0
BTCUSDT,LONG,70,29062.29,28967.6391,29346.2426,LOSS,-1.0
BTCUSDT,SHORT,70,27758.34,28004.6466,27019.4203,LOSS,-1.0
BTCUSDT,SHORT,70,26459.62,26786.0806,25480.2383,LOSS,-1.0
BTCUSDT,SHORT,70,26905.1,27158.7574,26144.1277,LOSS,-1.0
BTCUSDT,LONG,70,27237.02,27108.1157,27623.7329,LOSS,-1.0
